Offset: 0x5840, Avg Latency: 103 ns
Offset: 0x5880, Avg Latency: 114 ns
Offset: 0x58c0, Avg Latency: 144 ns
Offset: 0x5900, Avg Latency: 103 ns
Offset: 0x5940, Avg Latency: 103 ns
Offset: 0x5980, Avg Latency: 106 ns
Offset: 0x59c0, Avg Latency: 255 ns
Offset: 0x5a00, Avg Latency: 101 ns
Offset: 0x5a40, Avg Latency: 101 ns
Offset: 0x5a80, Avg Latency: 127 ns
Offset: 0x5ac0, Avg Latency: 101 ns
Offset: 0x5b00, Avg Latency: 101 ns
Offset: 0x5b40, Avg Latency: 100 ns
Offset: 0x5b80, Avg Latency: 115 ns
Offset: 0x5bc0, Avg Latency: 110 ns
Offset: 0x5c00, Avg Latency: 103 ns
Offset: 0x5c40, Avg Latency: 217 ns
Offset: 0x5c80, Avg Latency: 103 ns
Offset: 0x5cc0, Avg Latency: 102 ns
Offset: 0x5d00, Avg Latency: 108 ns
Offset: 0x5d40, Avg Latency: 103 ns
Offset: 0x5d80, Avg Latency: 124 ns
Offset: 0x5dc0, Avg Latency: 109 ns
Offset: 0x5e00, Avg Latency: 87 ns
Offset: 0x5e40, Avg Latency: 101 ns
Offset: 0x5e80, Avg Latency: 88 ns
Offset: 0x5ec0, Avg Latency: 126 ns
Offset: 0x5f00, Avg Latency: 88 ns
Offset: 0x5f40, Avg Latency: 246 ns
Offset: 0x5f80, Avg Latency: 88 ns
Offset: 0x5fc0, Avg Latency: 101 ns
Offset: 0x6000, Avg Latency: 139 ns
Offset: 0x6040, Avg Latency: 105 ns
Offset: 0x6080, Avg Latency: 103 ns
Offset: 0x60c0, Avg Latency: 103 ns
Offset: 0x6100, Avg Latency: 110 ns
Offset: 0x6140, Avg Latency: 182 ns
Offset: 0x6180, Avg Latency: 118 ns
Offset: 0x61c0, Avg Latency: 103 ns
Offset: 0x6200, Avg Latency: 89 ns
Offset: 0x6240, Avg Latency: 106 ns
Offset: 0x6280, Avg Latency: 91 ns
Offset: 0x62c0, Avg Latency: 90 ns
Offset: 0x6300, Avg Latency: 118 ns
Offset: 0x6340, Avg Latency: 90 ns
Offset: 0x6380, Avg Latency: 88 ns
Offset: 0x63c0, Avg Latency: 92 ns
Offset: 0x6400, Avg Latency: 109 ns
